"","Y","YTrain","YHat"
"1",210.00851318285,210.00851318285,182.248450562425
"2",175.021001625824,175.021001625824,181.502795793379
"3",154.71469756979,154.71469756979,185.960320155183
"4",175.243109495908,175.243109495908,190.088681409024
"5",183.916360466905,183.916360466905,171.490771804736
"6",177.146365332922,177.146365332922,176.497903928987
"7",110.086968181956,110.086968181956,169.370506859285
"8",180.631372797216,180.631372797216,178.246497788398
"9",159.435410145543,159.435410145543,173.670263150219
"10",164.592975769637,164.592975769637,181.676665455498
"11",100.987908200357,100.987908200357,171.770606446688
"12",198.228206261293,198.228206261293,160.181044768397
"13",187.82963117241,187.82963117241,177.045127378503
"14",157.84138736522,157.84138736522,183.307015132763
"15",148.050234351979,148.050234351979,170.610740516134
"16",188.24930460649,188.24930460649,174.195869692121
"17",169.86343600173,169.86343600173,186.609639831493
"18",169.408176223824,169.408176223824,173.197502483054
"19",216.315885847101,216.315885847101,194.435931866262
"20",179.561328251841,179.561328251841,172.983067650712
"21",205.179814460316,205.179814460316,182.660865832453
"22",177.019972456576,177.019972456576,171.369858761051
"23",173.425751730197,173.425751730197,170.923901681665
"24",187.335103704765,187.335103704765,175.226974709785
"25",185.86256533957,185.86256533957,182.235899516158
"26",214.89243209408,214.89243209408,181.143420929013
"27",191.429987475311,191.429987475311,177.586739931242
"28",210.630660642145,210.630660642145,188.786186587077
"29",179.904920537054,179.904920537054,191.516655385127
"30",161.62581096377,161.62581096377,183.015831973029
"31",188.781872648569,188.781872648569,183.168503780526
"32",199.447958873796,199.447958873796,173.815985902486
"33",145.413163562976,145.413163562976,178.405001441196
"34",92.1637220469275,92.1637220469275,174.403572551981
"35",212.840695305242,212.840695305242,175.435288493267
"36",168.217874378625,168.217874378625,168.653560957909
"37",149.823415966735,149.823415966735,187.205195217835
"38",163.73767640252,163.73767640252,183.637032765727
"39",215.359963025029,215.359963025029,187.069194352868
"40",183.051244177353,183.051244177353,194.559990349657
"41",144.402020552209,144.402020552209,177.100328595815
"42",186.639329327211,186.639329327211,185.010330004256
"43",188.781872648569,188.781872648569,173.033591200379
"44",260.052729523992,260.052729523992,185.850880210322
"45",209.996242029807,209.996242029807,180.267870912942
"46",170.045049066771,170.045049066771,183.150126641369
"47",192.909888532331,192.909888532331,171.047622617938
"48",145.085523776721,145.085523776721,185.190332695533
"49",142.345375302154,142.345375302154,174.893318296331
"50",142.247206077808,142.247206077808,177.100328586754
"51",166.107236055179,166.107236055179,178.442105545094
"52",166.971125229427,166.971125229427,175.435375437745
"53",148.284613375106,148.284613375106,177.100328585522
"54",181.559071967289,181.559071967289,183.997507268654
"55",137.657794839618,137.657794839618,179.663772122729
"56",183.117508403787,183.117508403787,171.94006524965
"57",202.609007897747,202.609007897747,182.111135589129
"58",216.028740865888,216.028740865888,185.001055258286
"59",213.741397938619,213.741397938619,182.698424546983
"60",126.284890199097,126.284890199097,126.017581185836
"61",190.487562921586,190.487562921586,169.901010586486
"62",250.999072808654,250.999072808654,172.393152523437
"63",159.630521478931,159.630521478931,170.060754023616
"64",256.881863577606,256.881863577606,178.458305701713
"65",204.288928749373,204.288928749373,184.059176228212
"66",165.474044558145,165.474044558145,183.199580780246
"67",190.23355005359,190.23355005359,176.277253268488
"68",173.965682464102,173.965682464102,194.81217226759
"69",172.867414266727,172.867414266727,187.622335080031
"70",173.430660191414,173.430660191414,184.879462962124
"71",207.137063370721,207.137063370721,184.720933456365
"72",213.10943355689,213.10943355689,176.056065441878
"73",194.83155109891,194.83155109891,181.227283993872
"74",215.910937796673,215.910937796673,179.163179304973
"75",179.627592478275,179.627592478275,183.866836957766
"76",211.695796726303,211.695796726303,167.961745890332
"77",162.508106867583,162.508106867583,184.928589061902
"78",182.988661296832,182.988661296832,178.766555215421
"79",169.408176223824,169.408176223824,169.158148169029
"80",195.356756449163,195.356756449163,177.024962877071
"81",183.024247640658,183.024247640658,180.096270773686
"82",166.820190046994,166.820190046994,183.30247709448
"83",177.464188196743,177.464188196743,167.933775695507
"84",166.610353329954,166.610353329954,189.304331391539
"85",119.993470033803,119.993470033803,172.410446028793
"86",169.533341984866,169.533341984866,181.777426637515
"87",231.398360052608,231.398360052608,179.541220628489
"88",121.65375704056,121.65375704056,170.246084291747
"89",203.836123202076,203.836123202076,188.462048954533
"90",122.920140034627,122.920140034627,164.96734184883
"91",180.179794365223,180.179794365223,179.351414014263
"92",185.588918626705,185.588918626705,182.61972736895
"93",160.01583568449,160.01583568449,171.622515103284
"94",199.51422310023,199.51422310023,172.888163893262
"95",218.524693394893,218.524693394893,178.12814077623
"96",159.630521478931,159.630521478931,173.987405831839
"97",154.913490249091,154.913490249091,167.095784919516
"98",229.141695007947,229.141695007947,188.388270999014
"99",192.633787588857,192.633787588857,189.371378427454
"100",157.064623377579,157.064623377579,169.367226937027
"101",144.128373839344,144.128373839344,177.634529089646
"102",190.734213097756,190.734213097756,183.696191508785
"103",146.380130422788,146.380130422788,176.552193919109
"104",174.411125319573,174.411125319573,180.186032019589
"105",199.034421016237,199.034421016237,168.304576682151
"106",166.107236055179,166.107236055179,173.423966176398
"107",198.536212202679,198.536212202679,174.858242886087
"108",150.386661891421,150.386661891421,176.111684255656
"109",141.363683058691,141.363683058691,175.282952340778
"110",182.199626156149,182.199626156149,172.888163888132
"111",175.158438539909,175.158438539909,175.338155728147
"112",245.508958937086,245.508958937086,177.38638158123
"113",150.846830130545,150.846830130545,176.571274401285
"114",178.66798831029,178.66798831029,178.785831998834
"115",171.913945675264,171.913945675264,179.317372820114
"116",168.771303380877,168.771303380877,175.487447027427
"117",169.935835804685,169.935835804685,177.631747374789
"118",156.678082056716,156.678082056716,174.387185613345
"119",178.975994251677,178.975994251677,175.328241295175
"120",164.175756566165,164.175756566165,180.057727308849
"121",189.251857810127,189.251857810127,188.063924982176
"122",212.732709158461,212.732709158461,179.830810893851
"123",203.512164761733,203.512164761733,189.169332873223
"124",146.272144276007,146.272144276007,171.681067914097
"125",149.857775195256,149.857775195256,174.403572504442
"126",188.781872648569,188.781872648569,178.039202614071
"127",215.086316312164,215.086316312164,181.115712383768
"128",200.108146907525,200.108146907525,175.986000595881
"129",95.3640387606173,95.3640387606173,166.999979601713
"130",232.864762841281,232.864762841281,177.194771171572
"131",193.403188884672,193.403188884672,185.733300482687
"132",157.443802006617,157.443802006617,166.982002577471
"133",187.36210024146,187.36210024146,182.54909390926
"134",224.547375308539,224.547375308539,190.78784487319
"135",189.515687600558,189.515687600558,179.568740287757
"136",230.334451083755,230.334451083755,201.223514837452
"137",179.425118453061,179.425118453061,166.302421229777
"138",184.656310995415,184.656310995415,185.969181823117
"139",204.657063340672,204.657063340672,194.559990286931
"140",222.912857723173,222.912857723173,181.062404120393
"141",142.144128392244,142.144128392244,187.576615168129
"142",167.162555216902,167.162555216902,180.076184560178
"143",190.951412506622,190.951412506622,170.964526919189
"144",204.996974279971,204.996974279971,182.482593608007
"145",172.890729457509,172.890729457509,170.292719940089
"146",178.221318339514,178.221318339514,186.09196262163
"147",156.570095909935,156.570095909935,188.215036514065
"148",136.114083786772,136.114083786772,164.247499450048
"149",139.142604357856,139.142604357856,168.371899636741
"150",153.143989980249,153.143989980249,178.55957555832
"151",189.496053755688,189.496053755688,193.261696150124
"152",208.069671002011,208.069671002011,178.648402147924
"153",225.695955233391,225.695955233391,179.934324144937
"154",181.308740445206,181.308740445206,171.977964402355
"155",182.712560353358,182.712560353358,167.582636461193
"156",180.477983384175,180.477983384175,181.380997442646
"157",122.1470573929,122.1470573929,175.21208053875
"158",124.08589957374,124.08589957374,172.644917546735
"159",205.842456724654,205.842456724654,188.706873885559
"160",202.994322103306,202.994322103306,180.375281443106
"161",154.333064710143,154.333064710143,169.901010529442
"162",134.796161949923,134.796161949923,176.056065398725
"163",216.875450425875,216.875450425875,183.488070595356
"164",162.656587819406,162.656587819406,185.890141432403
"165",141.963742442508,141.963742442508,190.619208773403
"166",161.278537332645,161.278537332645,167.931624743736
"167",223.402476729601,223.402476729601,182.261354183307
"168",157.615598149223,157.615598149223,186.501866575722
"169",197.976647623905,197.976647623905,177.975977446125
"170",156.678082056716,156.678082056716,170.690464274669
"171",251.730433530034,251.730433530034,180.38802848828
"172",183.576449527606,183.576449527606,178.313616682973
"173",142.929482187015,142.929482187015,187.104023669704
"174",185.355766718883,185.355766718883,188.06392497576
